Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Eng_Model_OBDH_2.PrjPcb|ReportField=ProjectFullPath~C:\Users\sara\Documents\PCB\EPS flight model\OBDH_2019\Altium_Project\PCB_Eng_Model_OBDH_2018\PCB_Eng_Model_OBDH_2.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Eng_Model_OBDH_2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~146|ReportField=ReportTime~12:41:34|ReportField=ReportDate~14/04/2019|ReportField=ReportDateTime~14/04/2019 12:41:34|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~14/04/2019|ReportField=CurrentTime~12:40:45|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\sara\Documents\PCB\EPS flight model\OBDH_2019\Altium_Project\PCB_Eng_Model_OBDH_2018\1_Interface.SchDoc|ReportField=DocumentName~1_Interface.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Sara V. Martinez|ReportField=Engineer~Flight|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~14/04/2019|ReportField=Organization~|ReportField=ProjectName~PCB_Eng_Model_OBDH_2.PrjPcb|ReportField=Revision~V0.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~OBDH Interface|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~PCB_Eng_Model_OBDH_2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\sara\Documents\PCB\EPS flight model\OBDH_2019\Altium_Project\PCB_Eng_Model_OBDH_2018\PCB_Eng_Model_OBDH_2.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Header 12_PicoBlade|Header, 12-Pin|-X, -Y, -Z|HDR12 PicoBlade - duplicate|Header 12_PicoBlade|53398-1271, 53398-1271, 533981271|3
2|18pF/50V|CAP CER 18pF 50V 5% X7R 0805|C1, C3, C5|CC0805|Cap_Cer_X7R_18pF_50V_0805|CC0805JRNPO9BN180|3
3|0.1uF/25V|CAP CER 0.1UF 25V 10% X7R 0805|C2, C4, C9, C12, C22, C23, C25, C27, C29, C32, C33, C35, C38, C48, C49, C50, C51, C53, C54, C56, C58|CC0805|Cap_Cer_X7R_0.1uF_25V_0805|CC0805KRX7R8BB104|21
4|DNP|CAP CER 0.1UF 25V 10% X7R 0805, CAP CER 0.1UF 25V 10% X7R 0805, CAP CER 0.01uF 50V 10% X7R 0805, CAP CER 0.01uF 50V 10% X7R 0805, CAP CER 2.2uF 16V 0805, CAP CER 2.2uF 16V 0805|C6, C8, C15, C16, C17, C18|CC0805|Cap_Cer_X7R_0.1uF_25V_0805, Cap_Cer_X7R_0.1uF_25V_0805, Cap_Cer_X7R_0.01uF_50V_0805, Cap_Cer_X7R_0.01uF_50V_0805, Cap_Cer_X7R_2.2uF_16V_0805, Cap_Cer_X7R_2.2uF_16V_0805|CC0805KRX7R8BB104, CC0805KRX7R8BB104, CL21B103KAANNNC, CL21B103KAANNNC, C2012X7R1C225K125AB, C2012X7R1C225K125AB|6
5|DNP|CAP Tantalum 10uF 10V 20% 0805|C7, C13, C14|CC0805_Tantalum|Cap_Tant_SMD_10uF_10V_0805|TPSP106M010R2000|3
6|10uF/10V|CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 10V 20% 0805, CAP Tantalum 10uF 6.3V 10% 0805|C10, C26, C30, C31, C34, C37, C40, C44, C45, C46, C47, C52, C55|CC0805_Tantalum|Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_6V3_0805, Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_10V_0805, Cap_Tant_SMD_10uF_6V3_0805|TPSP106M010R2000, TPSR106K006R1000, TPSR106K006R1000, TPSR106K006R1000, TPSR106K006R1000, TPSR106K006R1000, TPSR106K006R1000, TPSP106M010R2000, TPSP106M010R2000, TPSP106M010R2000, TPSP106M010R2000, TPSP106M010R2000, TPSR106K006R1000|13
7|0.01uF/25V|CAP CER 0.01uF 25V 10% X7R 0805|C11, C39|CC0805|Cap_Cer_X7R_0.01uF_50V_0805|CL21B103KAANNNC|2
8|22uF/16V|CAP CER 22uF 16V 10% X7R 1210|C19, C21|CC1210|Cap_Cer_X7R_0.01uF_16V_1210|C3225X7R1C226K250AC|2
9|0.047uF/25V|CAP CER 0.047UF 25V 0603|C20|CC0805|Cap_Cer_X7R_0.047uF_25V_0603|GCM188R71E473KA37D|1
10|0.022uF/50V|CAP CER 0.022UF 50V 5% X7R 0805|C24|CC0805|Cap_Cer_X7R_0.022uF_50V_0805|CGA4J2C0G1H223J125AA|1
