Altium Designer Pick and Place Locations
C:\Users\Sidney&Viviane\Documents\Andre\GitHub\obdh2\hardware\.\fabrication\Pick Place for board_layout.txt

========================================================================================================================
File Design Information:

Date:       26/08/20
Time:       19:35
Revision:   d8a53c30fee4f8d2711ceb91b6db365d8295e95c
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
V4         47k                   BottomLayer 0805                 4742.126      4144.685      225      "RES 47k OHM 1/10W 1% 0805"                                                                                      
V3         47k                   BottomLayer 0805                 4823.819      4010.827      315      "RES 47k OHM 1/10W 1% 0805"                                                                                      
V2         47k                   BottomLayer 0805                 4616.848      4070.423      315      "RES 47k OHM 1/10W 1% 0805"                                                                                      
V1         47k                   BottomLayer 0805                 4749.016      3942.136      315      "RES 47k OHM 1/10W 1% 0805"                                                                                      
R38        10k                   BottomLayer 0805                 3010.142      3588.583      270      "RES 10K OHM 1/8W 1%  0805"                                                                                      
U8         TCA4311ADR            TopLayer    SOIC8                3424.468      4750.295      90       "IC SIGNAL BUFFER I2C 8SOIC"                                                                                     
P8         "Header 4H"           TopLayer    HDR1X4               5639.764      4865.748      270      "Header, 4-Pin"                                                                                                  
P7         "Header 2H"           TopLayer    HDR_1X2              2717.780      5236.221      270      "Header, 2-Pin"                                                                                                  
R37        12K                   BottomLayer 0805                 4644.685      3780.512      225      "RES 1.65K OHM 1/10W 0.1% 0805"                                                                                  
C37        0.1uF/25V             BottomLayer CC0805               4744.095      3663.386      360      "CAP CER 0.1UF 25V 10% X7R 0805"                                                                                 
P5         "Header 6H"           TopLayer    HDR1X6H              2716.535      5752.165      270      "Header, 6-Pin, Right Angle"                                                                                     
R_ESD      1M                    TopLayer    0805                 5869.095      6413.386      360      "RES 1000K OHM 1/8W 1% 0805"                                                                                     
FB2        "30R@100Mhz, 3A"      TopLayer    IND0805              4910.433      3720.472      270      "Ferrite Bead 30 OHM 3A 100MHz"                                                                                  
Y2         "32.768kHz 12.5pF"    TopLayer    ABS06_0805           4655.069      3859.019      45       "32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 125°C"                                                          
Y1         "32MHz 10ppm"         TopLayer    XTAL_ABM8X           3957.677      3845.472      270      "32MHz ±10ppm Crystal 10pF 60 Ohm -40°C ~ 125°C"                                                                 
U10        THVD1451DR            TopLayer    SOIC8                5218.754      4741.732      360      "IC INTERFACE RS422_RS485 8SOIC"                                                                                 
U9         MSP430F6659IPZR_1     TopLayer    PZ0100A_N            4347.713      4142.339      135      Imported                                                                                                         
U7         TCA4311ADR            TopLayer    SOIC8                3811.492      4750.492      90       "IC SIGNAL BUFFER I2C 8SOIC"                                                                                     
U6         TCA4311ADR            TopLayer    SOIC8                4215.823      4749.311      90       "IC SIGNAL BUFFER I2C 8SOIC"                                                                                     
U5         MT25QL01GBBB8ESF-0SIT TopLayer    SOIC127P1032X265-16N 3228.346      4006.812      0        "IC FLASH 1GBIT 108MHZ 16SOIC"                                                                                   
U4         TLV341AIDBVR          TopLayer    SOT-23_6L            4540.736      3590.748      90       TLV341AIDBVR                                                                                                     
U3         MAX9934TAUA+          BottomLayer MSOP-8               5425.197      3728.347      270      MAX9934TAUA+                                                                                                     
U2         REF5030A-Q1           TopLayer    SOIC-8               5259.842      3515.748      360      REF5030A-Q1                                                                                                      
U1         TPS3823-33QDBVRQ1     TopLayer    DBV0005A_N           3007.874      3581.693      90       "Processor Supervisory Circuit, 1 Supply Monitored, -40 to 85 degC, 5-Pin SOT-23 (DBV), Green (RoHS & no Sb/Br)" 
RSense     0.05R/0.5W            BottomLayer 1206_-_ohmite        5397.638      3523.130      360      "Current Sense Resistors - SMD 0.05ohm .5% 4 Terminal"                                                           
R36        10k                   TopLayer    0805                 4988.340      4776.575      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R35        10k                   TopLayer    0805                 4699.922      4776.575      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R34        10k                   TopLayer    0805                 4797.358      4776.575      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R33        10k                   TopLayer    0805                 4894.794      4776.575      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R32        10k                   TopLayer    0805                 3375.043      4446.400      270      "RES 10K OHM 1/8W 1%  0805"                                                                                      
R31        10k                   TopLayer    0805                 3375.043      5059.055      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R30        10k                   TopLayer    0805                 3757.752      4447.835      270      "RES 10K OHM 1/8W 1%  0805"                                                                                      
R29        10k                   TopLayer    0805                 3757.752      5060.236      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
R28        10k                   TopLayer    0805                 4455.292      4832.401      360      "RES 10K OHM 1/8W 1%  0805"                                                                                      
R27        10k                   TopLayer    0805                 4190.823      5060.039      90       "RES 10K OHM 1/8W 1%  0805"                                                                                      
