Designator,Part Number,Description,Package,Quantity
"C1, C3, C5",CC0805JRNPO9BN180,CAP CER 18pF 50V 5% X7R 0805,_0805,3
"C2, C4, C9, C12, C22, C23, C25, C27, C29, C32, C33, C35, C38, C48, C49, C50, C51, C53, C54, C56, C58",CC0805KRX7R8BB104,CAP CER 0.1UF 25V 10% X7R 0805,_0805,21
"C10, C26, C30, C31, C34, C37, C40, C44, C45, C46, C47, C52, C55",TPSP106M010R2000,CAP Tantalum 10uF 10V 20% 0805,_0805,13
"C11, C39",08053C103KAT4A,CAP CER 0.01uF 25V 10% X7R 0805,_0805,2
"C19, C21",C3225X7R1C226K250AC,CAP CER 22uF 16V 10% X7R 1210,1210,2
C20,0805YC222KAT2A,CAP CER 2200PF 16V X7R 0805,_0805,1
C24,CGA4J2C0G1H223J125AA,CAP CER 0.022UF 50V 5% X7R 0805,_0805,1
C28,C0805C474K5RACTU,CAP CER 0.47UF 50V 10% X7R 0805,_0805,1
"C36, C42",CL21C120FBANNNC,CAP CER 12pF 50V 0805,_0805,2
"C41, C43",08051A100FAT2A,CAP CER 10pF 100V 0805,_0805,2
"FB1, FB2",BLM21PG300SN1D,Ferrite Bead 30 OHM 3A 100MHz,_0805,2
"J_V1, J_V2, J_V3, J_V4, J_V5, J_V6, R1, R2, R3, R4, R5, R8, R9, R10, R13, R14, R15",CRCW08050000Z0EA,RES 0R OHM 1/16W JUMPER 0805,_805,18
"P2, P8",53398-0671,"Header, 6-Pin, Right Angle",HDR6 PicoBlade,2
R7,ERJ-U06F1202V,RES SMD 12K OHM 1% 1/8W 0805,_0805,1
"R11, R12, R20, R21, R22, R23, R24, R25, R29, R30, R31, R32, R33, R34, R35, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R48",CRCW080510K0FKEA,RES 10K OHM 1/8W 1% 0805,_0805,26
"R18, R27, R36",RC0805FR-0747KL,RES 47k OHM 1/10W 1% 0805,_0805,3
R19,RC0805FR-0733KL,RES 33K OHM 1/10W 1% 0805,_0805,1
R28,RC0805FR-07330RL,RES 330R OHM 1/4W 1% 0805,_0805,1
RSense,LVK12R050DER,"Current Sense Resistors - SMD 0.05ohm
.5% 4 Terminal",1206,1
"U1, U2, U4, U12",TLV341AIDBVR,IC OPAMP GP 2.3MHZ RRO SOT23-6,SOT-23 6L,4
U3 ,MAX9934TAUA+,Precision Maxim Integrated Current Sense Amplifiers,UMAX-8,1
U9,MSP430F6659IPZR,IC MCU 16BIT 512KB FLASH 100LQFP,LQFP-100,1
U10,TPS3823-33QDBVRQ1,IC SUPERVISORY CIRCUIT SOT23-5,SOT-23-5,1
U11,REF5030AQDRQ1,IC VREF SERIES 3V 8SOIC,SOIC-8,1
"U16A, U16B",SSQ-126-03-G-D,"Double 26 pins, square tails, 20u gold, lead size 10,00 mm",PC104,2
Y1,ABM8X-102-32.000MHZ-T,CRYSTAL 32.0000MHZ 10PF SMD,XTAL_ABM8X,1
Y2,ECS-.327-12.5-34S-TR,"32.768kHz ±20ppm Crystal 12.5pF 70
kOhm -40°C ~ 125°C",ABS06 0805,1
TBD,TCA9545APWR,4-Channel I2C and SMBus Switch With Interrupt Logic and Reset Functions,TSSOP 20 pins,1
TBD,THVD1451DR,3.3-V to 5-V RS-485 transceiver with ±18-kV IEC ESD protection,SOIC 8 pins,1
TBD,MT25QL01GBBB8ESF-0AAT,NOR Flash SPI FLASH NOR SLC 256MX4 SOIC DDP,SOP 16 pins,1
TBD,TCA4311ADR,Hot swappable 2-wire bus buffers,SOIC 8 pins,3
TBD,SN74AVC4T774PWR,4-bit dual-supply bus transceiver with configurable voltage-level shifting and 3-state outputs,TSSOP 16 pins,2
TBD,RCS0805120RFKEA,Thick Film Resistors - SMD 0.4watt 120ohms 1% 100ppm,_0805,2
