Comment,Description,Quantity,Designator,Fitted

"10k","RES 10K OHM 1/8W 1%  0805","22","R8, R14, R15, R16, R17, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R38","Fitted"
"0R","RES 0R OHM 1/16W JUMPER 0805","17","J_PC1, J_PC2, J_PC3, J_PC4, J_PC5, J_PC6, J_PC7, J_PC8, J_PC9, J_PC10, J_PC11, J_V0, J_V1, J_V2, J_V3, J_V4, J_V5","Fitted"
"0.1uF/25V","CAP CER 0.1UF 25V 10% X7R 0805","14","C10, C12, C13, C14, C15, C16, C17, C21, C23, C25, C27, C28, C36, C37","Fitted"
"10uF/10V","CAP Tantalum 10uF 6.3V 10% 0805, CAP Tantalum 10uF 10V 20% 0805","8","C9, C18, C19, C20, C22, C24, C26, C29","Fitted"
"47k","RES 47k OHM 1/10W 1% 0805","7","R1, R10, R11, V1, V2, V3, V4","Fitted"
"330R","RES 330R OHM 1/4W 1% 0805","6","R2, R3, R4, R5, R6, R7","Fitted"
"Orange","SMD Orange LED","6","D1, D2, D3, D4, D5, D6","Fitted"
"0.01uF/25V","CAP CER 0.01uF 25V 10% X7R 0805","4","C11, C32, C34, C35","Fitted"
"DNP","SMD Green LED, RES 1.0K OHM 1/8W 1% 0805","4","D7, D8, R12, R13","Fitted"
"TCA4311ADR","IC SIGNAL BUFFER I2C 8SOIC","3","U6, U7, U8","Fitted"
"6H_PicoBlade","Header, 6-Pin, Right Angle","2","P1, P4","Fitted"
"10pF/100V","CAP CER 10pF 100V 0805","2","C3, C4","Fitted"
"12K","RES 1.65K OHM 1/10W 0.1% 0805","2","R9, R37","Fitted"
"12pF/50V","CAP CER 12pF 50V 0805","2","C5, C6","Fitted"
"22uF/16V","CAP CER 22uF 16V 10% X7R 1210","2","C7, C8","Fitted"
"30R@100Mhz, 3A","Ferrite Bead 30 OHM 3A 100MHz","2","FB1, FB2","Fitted"
"120R","RES 120R OHM 1/8W 1% 0805","2","R19, R20","Fitted"
"Header 2H","Header, 2-Pin","2","P6, P7","Fitted"
"0.05R/0.5W","Current Sense Resistors - SMD 0.05ohm .5% 4 Terminal","1","RSense","Fitted"
"0.47uF/50V","CAP CER 0.47UF 50V 10% X7R 0805","1","C2","Fitted"
"1M","RES 1000K OHM 1/8W 1% 0805","1","R_ESD","Fitted"
"1nF/16V","CAP CER 1nF 16V 0603 5%","1","C1","Fitted"
"4.7uF/25V","CAP CER 4.7UF 25V 10% X7R 0805","1","C31","Fitted"
"32MHz 10ppm","32MHz ±10ppm Crystal 10pF 60 Ohm -40°C ~ 125°C","1","Y1","Fitted"
"32.768kHz 12.5pF","32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 125°C","1","Y2","Fitted"
"100k","RES 100K OHM 1/8W 1% 0805","1","R18","Fitted"
"100nF/50V","CAP CER 100nF 50V 0603 10%","1","C30","Fitted"
"FSI-110-03-X-D-AD","Contact Connector","1","P3","Fitted"
"Header 4H","Header, 4-Pin","1","P8","Fitted"
"Header 6H","Header, 6-Pin, Right Angle","1","P5","Fitted"
"Header 7x2","Header, 7-Pin, Dual row","1","P2","Fitted"
"MAX9934TAUA+","MAX9934TAUA+","1","U3","Fitted"
"MSP430F6659IPZR_1","Imported","1","U9","Fitted"
"MT25QL01GBBB8ESF-0SIT","IC FLASH 1GBIT 108MHZ 16SOIC","1","U5","Fitted"
"PC104_INTERNAL","PC104","1","U16","Fitted"
"REF5030A-Q1","REF5030A-Q1","1","U2","Fitted"
"THVD1451DR","IC INTERFACE RS422_RS485 8SOIC","1","U10","Fitted"
"TLV341AIDBVR","TLV341AIDBVR","1","U4","Fitted"
"TPS3823-33QDBVRQ1","Processor Supervisory Circuit, 1 Supply Monitored, -40 to 85 degC, 5-Pin SOT-23 (DBV), Green (RoHS & no Sb/Br)","1","U1","Fitted"
